InterZone,All people,Area (hectares),simd_mode
S02002368,4613,5736,2
S02002369,3780,126,2
S02002370,4242,114,1
S02002371,2784,2707,2
S02002372,3367,91,2
S02002373,3823,397,2
S02002374,4126,130,1
S02002375,3583,134,1
S02002376,5713,1896,3
S02002377,4649,419,5
S02002378,2901,103,5
S02002379,2948,27110,4
S02002380,3018,4957,3
S02002381,3743,73,5
S02002382,2751,73,1
S02002383,2878,70,5
S02002384,4060,211,2
S02002385,3683,80,2
S02002386,2163,54,1
S02002387,2868,52,2
S02002388,6305,1049,4
S02002389,3976,83,5
S02002390,4141,75,1
S02002391,3955,219,1
S02002392,4358,91,1
S02002393,3388,79,4
S02002394,3082,94,2
S02002395,4896,195,1
S02002396,4687,100,1
S02002397,3641,106,2
S02002398,3886,229,1
S02002399,3430,414,5
S02002400,3085,74,2
S02002401,5482,291,4
S02002402,5459,731,4
S02002403,6002,238,1
S02002404,4132,101,1
S02002405,4881,112,4
S02002406,3834,115,5
S02002407,5876,124,2
S02002408,3236,289,1
S02002409,3738,154,1
S02002410,3348,61,1
S02002411,3257,56,3
S02002412,2878,64,1
S02002413,3412,100,5
S02002414,4540,106,1
S02002415,3993,97,1
S02002416,4611,6368,4
S02002417,3686,71,2
S02002418,3946,89,2
S02002419,4191,115,3
S02002420,4608,124,3
S02002421,4716,133,4
S02002422,3061,83,3
S02002423,3013,98,3
S02002424,2829,81,4
S02002425,4127,388,5
S02002426,3767,784,5
S02002427,3738,115,2
S02002428,2846,108,5
S02002429,4793,110,2
S02002430,4021,122,2
S02002431,3336,68,2
S02002432,4392,84,2
S02002433,3324,70,3
S02002434,3784,77,2
S02002435,4109,250,2
S02002436,5281,13222,4
S02002437,4060,9856,4
S02002438,3169,17551,4
S02002439,3642,6310,4
S02002440,3029,7578,2
S02002441,2649,117,2
S02002442,2832,69,1
S02002443,3494,91,2
S02002444,3550,86,2
S02002445,5541,155,2
S02002446,3751,211,2
S02002447,3784,161,5
S02002448,2458,366,2
S02002449,3938,52,2
S02002450,2895,137,1
S02002451,3397,119,4
S02002452,2344,83,5
S02002453,7147,1277,5
S02002454,2650,2004,5
S02002455,5089,6868,5
S02002456,4344,129,5
S02002457,4218,26096,4
S02002458,3666,22261,3
S02002459,3319,103891,4
S02002460,4485,108,1
S02002461,4641,290,1
S02002462,5682,130,1
S02002463,4416,94,2
S02002464,3722,141,3
S02002465,5535,225,1
S02002466,4567,2280,4
S02002467,5575,163,1
S02002468,5281,215,3
S02002469,4237,4345,3
S02002470,5188,102,2
S02002471,6221,349,4
S02002472,5715,235,1
S02002473,5117,1696,1
S02002474,5798,1698,1
S02002475,3966,133,2
S02002476,6145,226,2
S02002477,4429,3450,1
S02002478,4843,135,2
S02002479,5021,7417,3
S02002480,5505,185,3
S02002481,4686,1008,5
S02002482,5273,267,5
S02002483,5525,192,2
S02002484,5815,7581,4
S02002485,4999,717,3
S02002486,2671,1233,3
S02002487,5738,172,1
S02002488,4493,189,2
S02002489,5201,159,4
S02002490,4939,118,2
S02002491,5673,140,5
S02002492,3825,417,5
S02002493,2881,71,1
S02002494,5848,1215,3
S02002495,2134,221,2
S02002496,4743,435,1
S02002497,6107,1349,3
S02002498,4918,144,1
S02002499,2994,2335,2
S02002500,5794,483,2
S02002501,6135,148,2
S02002502,3983,1011,4
S02002503,4221,99,2
S02002504,6330,199,2
S02002505,6062,581,4
S02002506,3531,3271,3
S02002507,5996,4290,5
S02002508,4423,145,5
S02002509,3676,497,5
S02002510,4477,3434,2
S02002511,4204,498,2
S02002512,5873,1755,4
S02002513,3813,78,5
S02002514,2768,561,2
